e_commerce,produto,preco_bruto,preco_numerico,preco_bruto_vista,preco_original,nota_media,num_comentarios
Kabum,"iPhone 17 Pro Apple 256GB, Câmera Tripla Fusion de 48MP, Tela 6.3"" Super Retina XDR, Azul-intenso","R$ 10.349,10",10349.1,,,,
Kabum,"Smartphone Motorola Moto G23, 128GB, 4GB RAM, Octa Core, Câmera Tripla 50MP, Tela de 6.5, Grafite - PAX10000BR","R$ 1.428,99",1428.99,,,,
Kabum,"iPhone 16 Pro Max Apple 256GB, Câmera Tripla de 48MP, Tela 6,9"", Titânio Branco","R$ 8.199,90",8199.9,,,,
Kabum,"Smartphone Motorola Moto G53, 5G, 128GB, 4GB RAM, Octa Core, Câmera Dupla 50MP, Tela de 6.5, Grafite - PAWR0000BR","R$ 1.549,00",1549.0,,,,
Kabum,"iPhone 17 Pro Max Apple 256GB, Câmera Tripla Fusion de 48MP, Tela 6.9"" Super Retina XDR, Azul-intenso","R$ 11.249,10",11249.1,,,,
Kabum,"iPhone 16 Plus Apple 512GB, Câmera Dupla de 48MP, Tela 6,7"", Preto","R$ 8.299,90",8299.9,,,,
Kabum,"iPhone 16 Apple 128GB, Câmera Dupla de 48MP, Tela 6.1"", Preto","R$ 5.999,90",5999.9,,,,
Kabum,"iPhone Air Apple 256GB, Câmera Fusion de 48MP, Tela 6.5"" Super Retina XDR, Preto-espacial","R$ 9.449,10",9449.1,,,,
Kabum,"Smartphone Samsung Galaxy A06 128GB - Branco, 4g, Ram 4gb, Câmera 50mp + Selfie 8mp, Tela 6,7""","R$ 737,99",737.99,,,,
Kabum,"Smartphone Samsung Galaxy A16 4g 256gb 4gb Ram Dual Sim Tela 6.7"" Preto","R$ 1.290,96",1290.96,,,,
Kabum,"Smartphone Samsung Galaxy A05s, 128GB, 6GB RAM, Octa-Core, Câmera Tripla 50MP, Tela 6.7"", 4G, Preto - Sm-A057m","R$ 764,54",764.54,,,,
Kabum,Smartphone Samsung A06 4G 128GB 4GB Tela 6.7 Cam 50MP Frontal 8MP Azul Escuro,"R$ 687,05",687.05,,,,
Kabum,"Smartphone Motorola Moto G15 256gb - Grafite, 12gb Ram Boost, Câmera 50mp, Selfie 8mp E Tela 6,7""","R$ 799,00",799.0,,,,
Kabum,"iPhone 16 Pro Max Apple 256GB, Câmera Tripla de 48MP, Tela 6,9"", Titânio Preto","R$ 8.399,90",8399.9,,,,
Kabum,"Celular Samsung Galaxy A16, 128GB + 4gb Ram, Câmera De Até 50mp, Tela 6.7”, Nfc, Ip54, Bateria 5000 Mah Preto","R$ 778,95",778.95,,,,
Kabum,"Iphone 15 Apple, 128GB, Quadriband, 6,1 Polegadas, Preto - Mtp03br/a","R$ 4.199,00",4199.0,,,,
Kabum,"Smartphone Samsung Galaxy A16 4G, 128GB, 4GB Ram, Câmera Tripla 50MP, Tela 6.7"", Preto","R$ 817,90",817.9,,,,
